DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361128157,1655361128159,4,1655361128159,40,4,5,0,0,0
DEVICE,1655361128189,1655361128191,4,1655361128191,44,4,5,0,0,0
DEVICE,1655361128205,1655361128207,4,1655361128207,42,4,5,0,0,0
DEVICE,1655361128237,1655361128239,4,1655361128239,43,4,5,0,0,0
DEVICE,1655361128269,1655361128271,4,1655361128271,44,4,5,0,0,0
DEVICE,1655361128302,1655361128304,4,1655361128304,41,4,5,0,0,0
DEVICE,1655361128333,1655361128335,4,1655361128335,41,4,5,0,0,0
DEVICE,1655361128366,1655361128368,4,1655361128368,42,4,5,0,0,0
DEVICE,1655361128397,1655361128399,4,1655361128399,43,4,5,0,0,0
DEVICE,1655361128429,1655361128431,4,1655361128431,42,4,5,0,0,0
DEVICE,1655361128461,1655361128463,4,1655361128463,43,4,5,0,0,0
DEVICE,1655361128494,1655361128496,4,1655361128496,46,4,5,0,0,0
DEVICE,1655361128525,1655361128527,4,1655361128527,42,4,5,0,0,0
DEVICE,1655361128557,1655361128559,4,1655361128559,43,4,5,0,0,0
DEVICE,1655361128590,1655361128592,4,1655361128592,43,4,5,0,0,0
DEVICE,1655361128621,1655361128623,4,1655361128623,44,4,5,0,0,0
DEVICE,1655361128653,1655361128655,4,1655361128655,42,4,5,0,0,0
DEVICE,1655361128685,1655361128687,4,1655361128687,42,4,5,0,0,0
DEVICE,1655361128717,1655361128719,4,1655361128719,43,4,5,0,0,0
DEVICE,1655361128749,1655361128751,4,1655361128751,43,4,5,0,0,0
DEVICE,1655361128782,1655361128784,4,1655361128784,41,4,5,0,0,0
DEVICE,1655361128813,1655361128815,4,1655361128815,45,4,5,0,0,0
DEVICE,1655361128845,1655361128847,4,1655361128847,44,4,5,0,0,0
DEVICE,1655361128877,1655361128879,4,1655361128879,42,4,5,0,0,0
DEVICE,1655361128909,1655361128911,4,1655361128911,42,4,5,0,0,0
DEVICE,1655361128941,1655361128943,4,1655361128943,43,4,5,0,0,0
DEVICE,1655361128973,1655361128975,4,1655361128975,42,4,5,0,0,0
DEVICE,1655361129005,1655361129007,4,1655361129007,42,4,5,0,0,0
DEVICE,1655361129037,1655361129039,4,1655361129039,43,4,5,0,0,0
DEVICE,1655361129069,1655361129071,4,1655361129071,44,4,5,0,0,0
DEVICE,1655361129101,1655361129103,4,1655361129103,42,4,5,0,0,0
DEVICE,1655361129133,1655361129135,4,1655361129135,44,4,5,0,0,0
DEVICE,1655361129165,1655361129167,4,1655361129167,43,4,5,0,0,0
DEVICE,1655361129197,1655361129199,4,1655361129199,41,4,5,0,0,0
DEVICE,1655361129229,1655361129231,4,1655361129231,42,4,5,0,0,0
DEVICE,1655361129261,1655361129263,4,1655361129263,44,4,5,0,0,0
DEVICE,1655361129293,1655361129295,4,1655361129295,40,4,5,0,0,0
DEVICE,1655361129325,1655361129327,4,1655361129327,44,4,5,0,0,0
DEVICE,1655361129357,1655361129359,4,1655361129359,44,4,5,0,0,0
DEVICE,1655361129389,1655361129391,4,1655361129391,43,4,5,0,0,0
DEVICE,1655361129421,1655361129423,4,1655361129423,44,4,5,0,0,0
DEVICE,1655361129453,1655361129455,4,1655361129455,43,4,5,0,0,0
DEVICE,1655361129485,1655361129487,4,1655361129487,44,4,5,0,0,0
DEVICE,1655361129517,1655361129519,4,1655361129519,44,4,5,0,0,0
DEVICE,1655361129548,1655361129550,4,1655361129550,46,4,5,0,0,0
DEVICE,1655361129581,1655361129583,4,1655361129583,42,4,5,0,0,0
DEVICE,1655361129613,1655361129615,4,1655361129615,43,4,5,0,0,0
DEVICE,1655361129645,1655361129647,4,1655361129647,41,4,5,0,0,0
DEVICE,1655361129677,1655361129679,4,1655361129679,44,4,5,0,0,0
DEVICE,1655361129709,1655361129711,4,1655361129711,42,4,5,0,0,0
DEVICE,1655361129741,1655361129743,4,1655361129743,44,4,5,0,0,0
DEVICE,1655361129772,1655361129774,4,1655361129774,43,4,5,0,0,0
DEVICE,1655361129804,1655361129806,4,1655361129806,44,4,5,0,0,0
DEVICE,1655361129836,1655361129838,4,1655361129838,42,4,5,0,0,0
DEVICE,1655361129869,1655361129871,4,1655361129871,43,4,5,0,0,0
DEVICE,1655361129885,1655361129887,4,1655361129887,41,4,5,0,0,0
DEVICE,1655361129917,1655361129919,4,1655361129919,41,4,5,0,0,0
DEVICE,1655361129957,1655361129959,4,1655361129959,42,4,5,0,0,0
DEVICE,1655361129981,1655361129983,4,1655361129983,42,4,5,0,0,0
DEVICE,1655361130013,1655361130015,4,1655361130015,43,4,5,0,0,0
DEVICE,1655361130044,1655361130046,4,1655361130046,41,4,5,0,0,0
DEVICE,1655361130077,1655361130079,4,1655361130079,41,4,5,0,0,0
DEVICE,1655361130109,1655361130111,4,1655361130111,44,4,5,0,0,0
DEVICE,1655361130141,1655361130143,4,1655361130143,42,4,5,0,0,0
DEVICE,1655361130172,1655361130174,4,1655361130174,43,4,5,0,0,0
DEVICE,1655361130204,1655361130206,4,1655361130206,43,4,5,0,0,0
DEVICE,1655361130237,1655361130239,4,1655361130239,41,4,5,0,0,0
DEVICE,1655361130268,1655361130270,4,1655361130270,41,4,5,0,0,0
DEVICE,1655361130300,1655361130302,4,1655361130302,45,4,5,0,0,0
DEVICE,1655361130333,1655361130335,4,1655361130335,42,4,5,0,0,0
DEVICE,1655361130364,1655361130366,4,1655361130366,42,4,5,0,0,0
DEVICE,1655361130397,1655361130399,4,1655361130399,43,4,5,0,0,0
DEVICE,1655361130429,1655361130431,4,1655361130431,42,4,5,0,0,0
DEVICE,1655361130461,1655361130463,4,1655361130463,40,4,5,0,0,0
DEVICE,1655361130492,1655361130494,4,1655361130494,41,4,5,0,0,0
DEVICE,1655361130525,1655361130527,4,1655361130527,40,4,5,0,0,0
DEVICE,1655361130557,1655361130559,4,1655361130559,42,4,5,0,0,0
DEVICE,1655361130588,1655361130590,4,1655361130590,44,4,5,0,0,0
DEVICE,1655361130620,1655361130622,4,1655361130622,45,4,5,0,0,0
DEVICE,1655361130652,1655361130654,4,1655361130654,44,4,5,0,0,0
DEVICE,1655361130684,1655361130686,4,1655361130686,41,4,5,0,0,0
DEVICE,1655361130716,1655361130718,4,1655361130718,43,4,5,0,0,0
DEVICE,1655361130749,1655361130751,4,1655361130751,45,4,5,0,0,0
DEVICE,1655361130780,1655361130782,4,1655361130782,42,4,5,0,0,0
DEVICE,1655361130813,1655361130815,4,1655361130815,42,4,5,0,0,0
DEVICE,1655361130845,1655361130847,4,1655361130847,44,4,5,0,0,0
DEVICE,1655361130877,1655361130879,4,1655361130879,42,4,5,0,0,0
DEVICE,1655361130909,1655361130911,4,1655361130911,44,4,5,0,0,0
DEVICE,1655361130941,1655361130943,4,1655361130943,44,4,5,0,0,0
DEVICE,1655361130972,1655361130974,4,1655361130974,43,4,5,0,0,0
DEVICE,1655361131004,1655361131006,4,1655361131006,43,4,5,0,0,0
DEVICE,1655361131037,1655361131039,4,1655361131039,43,4,5,0,0,0
DEVICE,1655361131068,1655361131070,4,1655361131070,44,4,5,0,0,0
DEVICE,1655361131101,1655361131103,4,1655361131103,42,4,5,0,0,0
DEVICE,1655361131132,1655361131134,4,1655361131134,42,4,5,0,0,0
DEVICE,1655361131164,1655361131166,4,1655361131166,43,4,5,0,0,0
DEVICE,1655361131196,1655361131198,4,1655361131198,41,4,5,0,0,0
DEVICE,1655361131228,1655361131230,4,1655361131230,42,4,5,0,0,0
DEVICE,1655361131260,1655361131262,4,1655361131262,41,4,5,0,0,0
DEVICE,1655361131292,1655361131294,4,1655361131294,43,4,5,0,0,0
DEVICE,1655361131325,1655361131327,4,1655361131327,42,4,5,0,0,0
DEVICE,1655361131356,1655361131358,4,1655361131358,42,4,5,0,0,0
DEVICE,1655361131389,1655361131391,4,1655361131391,43,4,5,0,0,0
DEVICE,1655361131421,1655361131423,4,1655361131423,44,4,5,0,0,0
DEVICE,1655361131452,1655361131454,4,1655361131454,41,4,5,0,0,0
DEVICE,1655361131484,1655361131486,4,1655361131486,41,4,5,0,0,0
DEVICE,1655361131516,1655361131518,4,1655361131518,41,4,5,0,0,0
DEVICE,1655361131548,1655361131550,4,1655361131550,43,4,5,0,0,0
DEVICE,1655361131580,1655361131582,4,1655361131582,42,4,5,0,0,0
